0.02	0.06	40
0.1	0.12	20
0.14	0.16	20
0.2	0.22	20
0.24	0.26	20
0.28	0.3	20
0.32	0.42	100
0.44	0.5	60
0.54	0.58	40
0.6	0.72	120
0.84	0.88	40
0.9	0.92	20
0.94	1.0	60
1.02	1.06	40
1.1	1.12	20
1.16	1.2	40
1.22	1.26	40
1.3	1.36	60
1.42	1.44	20
1.46	1.48	20
1.5	1.52	20
1.6	1.62	20
1.72	1.76	40
1.82	1.86	40
1.92	1.98	60
2.0	2.1	100
2.12	2.14	20
2.18	2.2	20
2.24	2.28	40
2.32	2.34	20
2.36	2.4	40
2.44	2.46	20
2.48	2.5	20
2.56	2.6	40
2.64	2.66	20
2.76	2.78	20
2.8	2.82	20
2.88	2.92	40
3.02	3.06	40
3.12	3.14	20
3.24	3.28	40
3.4	3.48	80
3.5	3.56	60
3.6	3.62	20
3.68	3.74	60
3.76	3.78	20
3.8	3.82	20
3.88	3.9	20
3.96	4.02	60
4.04	4.06	20
4.16	4.18	20
4.2	4.26	60
4.36	4.38	20
4.42	4.44	20
4.46	4.5	40
4.52	4.6	80
4.62	4.66	40
4.7	4.72	20
4.76	4.88	120
4.9	4.92	20
4.94	4.96	20
5.04	5.06	20
5.16	5.18	20
5.2	5.22	20
5.24	5.26	20
5.32	5.36	40
5.38	5.4	20
5.46	5.48	20
5.5	5.56	60
5.64	5.66	20
5.8	5.86	60
5.98	6.02	40
6.04	6.06	20
6.08	6.14	60
6.16	6.18	20
6.2	6.22	20
6.24	6.28	40
6.34	6.36	20
6.4	6.44	40
6.46	6.48	20
6.5	6.52	20
6.56	6.58	20
6.6	6.66	60
6.68	6.7	20
6.72	6.78	60
6.88	6.9	20
7.02	7.06	40
7.08	7.12	40
7.14	7.16	20
7.2	7.3	100
7.32	7.34	20
7.38	7.44	60
7.46	7.48	20
7.54	7.56	20
7.6	7.62	20
7.66	7.68	20
7.82	7.84	20
7.88	7.9	20
7.92	7.94	20
8.04	8.12	80
8.28	8.34	60
8.4	8.42	20
8.46	8.52	60
8.54	8.56	20
8.58	8.6	20
8.66	8.72	60
8.74	8.76	20
8.78	8.82	40
8.84	8.92	80
8.94	8.96	20
9.04	9.08	40
9.1	9.16	60
