0.12	0.16	40
0.18	0.24	60
0.3	0.34	40
0.42	0.44	20
0.46	0.5	40
0.54	0.7	160
0.72	0.74	20
0.76	0.84	80
0.86	0.9	40
0.92	1.06	140
1.08	1.22	140
1.26	1.32	60
1.34	1.38	40
1.52	1.58	60
1.64	1.66	20
1.7	1.72	20
1.74	1.82	80
1.84	1.86	20
1.88	1.96	80
1.98	2.02	40
2.04	2.06	20
2.08	2.1	20
2.16	2.18	20
2.28	2.3	20
2.38	2.44	60
2.46	2.48	20
2.56	2.58	20
2.64	2.66	20
2.68	2.72	40
2.76	2.8	40
2.84	2.86	20
2.88	2.9	20
2.92	2.94	20
3.0	3.02	20
3.1	3.12	20
3.18	3.2	20
3.36	3.38	20
3.46	3.5	40
3.52	3.58	60
3.64	3.72	80
3.82	3.96	140
4.06	4.08	20
4.12	4.14	20
4.26	4.28	20
4.38	4.4	20
4.5	4.52	20
4.78	4.82	40
4.84	4.86	20
4.96	4.98	20
5.0	5.06	60
5.08	5.12	40
5.14	5.16	20
5.22	5.24	20
5.28	5.32	40
5.34	5.36	20
5.48	5.56	80
5.58	5.6	20
5.76	5.78	20
5.86	5.9	40
5.92	5.94	20
5.98	6.0	20
6.02	6.08	60
6.14	6.16	20
6.2	6.22	20
6.24	6.32	80
6.36	6.38	20
6.42	6.48	60
6.5	6.52	20
6.54	6.56	20
6.6	6.68	80
6.72	6.76	40
6.78	6.8	20
6.84	6.86	20
6.92	6.94	20
6.96	6.98	20
7.0	7.02	20
7.08	7.1	20
7.14	7.16	20
7.18	7.2	20
7.24	7.26	20
7.3	7.4	100
7.42	7.44	20
7.5	7.54	40
7.56	7.58	20
7.6	7.64	40
7.66	7.68	20
7.72	7.76	40
7.78	7.82	40
7.88	7.9	20
7.92	7.96	40
7.98	8.04	60
8.1	8.12	20
8.14	8.16	20
8.18	8.2	20
8.26	8.28	20
8.32	8.34	20
8.36	8.38	20
8.4	8.42	20
8.58	8.6	20
8.7	8.72	20
8.78	8.82	40
8.84	8.86	20
8.88	8.9	20
8.92	8.94	20
9.0	9.02	20
9.04	9.06	20
9.08	9.1	20
9.12	9.14	20
